UTCDateTime,INR1000_Rate
09/24/2017 12:47:57,0.00417931
09/24/2017 12:48:12,0.00417931
09/24/2017 12:48:27,0.00417931
09/24/2017 12:48:42,0.00417854
09/24/2017 12:48:57,0.00417854
09/24/2017 12:49:12,0.00417854
09/24/2017 12:49:27,0.00417854
09/24/2017 12:49:42,0.00417925
09/24/2017 12:49:57,0.00417925
09/24/2017 12:50:12,0.00417925
09/24/2017 12:50:27,0.00417925
09/24/2017 12:50:42,0.00417854
09/24/2017 12:50:57,0.00418049
09/24/2017 12:51:12,0.00417925
09/24/2017 12:51:27,0.00418134
09/24/2017 12:51:42,0.00418134
09/24/2017 12:51:58,0.00418049
09/24/2017 12:52:12,0.00417881
09/24/2017 12:52:27,0.00417881
09/24/2017 12:52:42,0.00417881
09/24/2017 12:52:57,0.00417881
09/24/2017 12:53:12,0.00418049
09/24/2017 12:53:27,0.00417955
09/24/2017 12:53:42,0.00417881
09/24/2017 12:53:57,0.00417955
09/24/2017 12:54:12,0.00417819
09/24/2017 12:54:28,0.00417955
09/24/2017 12:54:43,0.00418134
09/24/2017 12:54:57,0.00417819
09/24/2017 12:55:12,0.00417819
09/24/2017 12:55:27,0.00417819
09/24/2017 12:55:42,0.00417851
09/24/2017 12:55:57,0.00417851
09/24/2017 12:56:13,0.00417819
09/24/2017 12:56:27,0.00417851
09/24/2017 12:56:42,0.0041789
09/24/2017 12:56:57,0.0041789
09/24/2017 12:57:12,0.0041789
09/24/2017 12:57:27,0.0041789
09/24/2017 12:57:43,0.00417934
09/24/2017 12:57:57,0.0041789
09/24/2017 12:58:13,0.0041789
09/24/2017 12:58:28,0.00417896
09/24/2017 12:58:43,0.00417934
09/24/2017 12:58:57,0.00417896
09/24/2017 12:59:12,0.00417896
09/24/2017 12:59:27,0.00417896
09/24/2017 12:59:42,0.00417959
09/24/2017 12:59:58,0.00417896
09/24/2017 13:00:12,0.00417959
09/24/2017 13:00:27,0.00417959
09/24/2017 13:00:42,0.00417935
09/24/2017 13:00:57,0.00417959
09/24/2017 13:01:12,0.00417876
09/24/2017 13:01:28,0.00417959
09/24/2017 13:01:43,0.00417876
09/24/2017 13:01:58,0.00417876
09/24/2017 13:02:13,0.00417876
09/24/2017 13:02:28,0.00417876
09/24/2017 13:02:43,0.00417876
09/24/2017 13:02:58,0.00417514
09/24/2017 13:03:13,0.00417814
09/24/2017 13:03:28,0.00417814
09/24/2017 13:03:43,0.00417514
09/24/2017 13:03:58,0.00417876
09/24/2017 13:04:13,0.00417514
09/24/2017 13:04:28,0.00417514
09/24/2017 13:04:43,0.00417514
